Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Variable modifications first search	Use variable modifications first search	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
Q20170905-02 U266_bR1	U266_bR1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		5778	70800	84442	57158	0	27284	25153	24808	0	345	29.79	43.4	NaN	1.26	11025	1024824	51857	5.06	11435	22.05	115346	36354	34455	31.52	35.69	12528	34.46	+	0.5078	0.73058	0.38497	0.58954	
Q20170905-04 RPMI8226_bR1	RPMI8226_bR1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		6084	73969	89824	58114	0	31710	22959	22557	0	402	25.56	38.82	NaN	1.27	10048	990424	53804	5.43	11521	21.41	113167	36107	33834	31.91	36.9	12781	35.4	+	0.51865	0.76624	0.3995	0.61579	
Q20170905-06 AMO1_bR1	AMO1_bR1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		5907	71930	84668	59192	0	25476	26034	25626	0	408	30.75	43.29	NaN	1.6	11096	1101764	52610	4.78	11798	22.43	122986	37818	35917	30.75	34.09	12926	34.18	+	0.49875	0.72811	0.36897	0.5673	
Q20170905-08 MM1S_bR1	MM1S_bR1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		6005	67773	78783	56763	0	22020	22425	22158	0	267	28.46	39.04	NaN	1.21	9266	1050968	49507	4.71	11156	22.53	119204	36105	34361	30.29	34.3	12450	34.48	+	0.53688	0.75582	0.40575	0.60342	
Q20170911-04 U266_bR2	U266_bR2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		6048	71226	86364	56088	0	30276	26519	26058	0	461	30.71	46.46	NaN	1.52	9154	919746	45452	4.94	12722	27.99	91277	29254	27258	32.05	35.98	12747	43.57	+	0.55108	0.796	0.43068	0.65886	
Q20170911-06 RPMI8226_bR2	RPMI8226_bR2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		6968	69991	84686	55296	0	29390	26509	26068	0	441	31.3	47.14	NaN	1.5	9049	1001212	44687	4.46	12327	27.59	93786	28711	26920	30.61	35.69	12445	43.35	+	0.56061	0.8009	0.43785	0.66367	
Q20170911-08 MM1S_bR2	MM1S_bR2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		6270	72768	87682	57854	0	29828	28747	28204	0	543	32.79	48.75	NaN	1.82	9875	1005741	46591	4.63	13147	28.22	101038	30533	28520	30.22	34.02	13112	42.94	+	0.56534	0.80968	0.42869	0.64909	
Q20170911-10 AMO1_bR2	AMO1_bR2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		6389	71843	85879	57807	0	28072	28207	27817	0	390	32.85	48.12	NaN	1.39	9848	1042707	45603	4.37	13078	28.68	102635	30453	28553	29.67	32.84	12979	42.62	+	0.54188	0.77013	0.40318	0.60797	
Q20170915-04 AMO1_bR3	AMO1_bR3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		6195	72926	88047	57805	0	30242	28757	28187	0	570	32.66	48.76	NaN	1.88	8993	919307	44859	4.88	13664	30.46	91612	28888	26927	31.53	34.92	13533	46.85	+	0.5531	0.78484	0.4217	0.63112	
Q20170915-06 INA6_bR1	INA6_bR1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M);Phospho (STY)		False	1	2		Standard		6782	71038	84887	57189	0	27698	27685	27271	0	414	32.61	47.69	NaN	1.49	8903	1047604	45309	4.33	13160	29.05	98355	29794	27959	30.29	33.64	13362	44.85	+	0.54732	0.78848	0.42062	0.6446	
